bill_id,date,last_date,gas_therms,gas_delivery,gas_supply,gas_total,elec_kWh,elec_delivery,elec_supply,elec_total
830,8/8/18,7/10/18,0,12.03,0,12.03,#N/A,#N/A,#N/A,#N/A
830,9/7/18,8/8/18,0,12.03,0,12.03,#N/A,#N/A,#N/A,#N/A
830,10/9/18,9/7/18,0,12.03,0,12.03,#N/A,#N/A,#N/A,#N/A
830,11/6/18,10/9/18,776.435,325.11,424.63,749.74,#N/A,#N/A,#N/A,#N/A
830,12/7/18,11/6/18,1802.263,681.29,1081.37,1762.66,#N/A,#N/A,#N/A,#N/A
830,1/9/19,12/7/18,1562.164,605.05,1101.86,1706.91,#N/A,#N/A,#N/A,#N/A
830,2/7/19,1/9/19,1390.041,569.87,848.15,1418.02,#N/A,#N/A,#N/A,#N/A
830,3/12/19,2/7/19,819.094,342.06,448.03,790.09,#N/A,#N/A,#N/A,#N/A
830,4/9/19,3/12/19,1318.757,392.39,703.26,1095.65,#N/A,#N/A,#N/A,#N/A
830,5/9/19,4/9/19,85.169,39.8,44.36,84.16,#N/A,#N/A,#N/A,#N/A
830,6/10/19,5/9/19,210.735,75.7,107.9,183.6,#N/A,#N/A,#N/A,#N/A
830,7/11/19,6/10/19,3.133,16.36,1.58,17.94,#N/A,#N/A,#N/A,#N/A
830,8/8/19,7/11/19,0,46.38,0,46.38,#N/A,#N/A,#N/A,#N/A
300,8/8/18,7/10/18,5.212,13.63,2.79,16.42,42654,1968.49,3462.55,5431.04
300,9/7/18,8/8/18,6.26,13.95,3.3,17.25,42466,1960.93,3317.95,5278.88
300,10/9/18,9/7/18,7.325,14.28,3.93,18.21,28395,939.08,2579.74,3518.82
300,11/6/18,10/9/18,478.209,204.55,261.55,466.1,18637,838.29,2118.73,2957.02
300,12/7/18,11/6/18,716.097,278.74,429.85,708.59,15432,642.32,2096.01,2738.33
300,1/9/19,12/7/18,948.831,372.44,669.27,1041.71,13128,610.62,2277.81,2888.43
300,2/7/19,1/9/19,1210.24,497.33,738.41,1235.74,12877,631.91,2547.83,3179.74
300,3/12/19,2/7/19,1250.195,513.15,683.85,1197,12842,616.25,2647.72,3263.97
300,4/9/19,3/12/19,530.45,167.07,282.86,449.93,12498,615.99,2535.85,3151.84
300,5/9/19,4/9/19,126.176,51.52,65.71,117.23,13886,767.11,2601.48,3368.59
300,6/10/19,5/9/19,186.621,68.8,95.57,164.37,22962,1677.1,3145.22,4822.32
300,7/11/19,6/10/19,10.444,18.43,5.24,23.67,31402,2031.35,3435.83,5467.18
300,8/8/19,7/11/19,23.01,52.93,11.5,64.43,88825,5970.09,10049.79,16019.88
620,8/8/18,3/9/18,3349.75,831.35,1705.57,2536.92,5680,1360.77,2580.84,3941.61
620,9/7/18,8/8/18,27.533,109.16,14.5,123.66,12880,646.78,1092.77,1739.55
620,10/8/18,9/7/18,22.09,108.7,11.83,120.53,10480,274.02,952.43,1226.45
620,12/7/18,11/6/19,2055.728,967.67,1233.36,2201.03,8000,218.4,886.96,1105.36
620,1/9/19,12/7/18,2548.627,917.11,1797.67,2714.78,9200,238.62,1043.63,1282.25
620,2/7/19,1/9/19,3315.151,1071.11,2022.95,3094.06,8960,248.93,1031.62,1280.55
620,3/11/19,2/7/19,3214.154,1116.88,1759.16,2876.04,10320,277.04,1183.83,1460.87
620,4/9/19,3/11/19,1368.663,220.18,730.03,950.21,7760,226.55,962.4,1188.95
620,5/9/19,4/9/19,278.575,153.9,145.11,299.01,7920,269.83,983.85,1253.68
620,6/10/19,5/9/19,143.865,145.86,73.66,219.52,8880,570.89,1012.83,1583.72
620,7/11/19,6/10/19,0,137.29,0,137.29,12800,631.88,1095.68,1727.56
620,8/8/19,7/11/19,0,137.29,0,137.29,12000,633,1014.6,1647.6
620,11/6/19,10/8/18,518.019,700.86,283.26,984.12,7600,232.34,809.15,1041.49
700,8/8/18,7/10/18,#N/A,#N/A,#N/A,#N/A,229,86.48,97.7,184.18
700,9/7/18,8/8/18,#N/A,#N/A,#N/A,#N/A,263,87.14,99.55,186.69
700,10/8/18,9/7/18,#N/A,#N/A,#N/A,#N/A,257,34.73,101.69,136.42
700,11/6/18,10/8/18,#N/A,#N/A,#N/A,#N/A,216,33.9,99.47,133.37
700,12/7/18,11/6/18,#N/A,#N/A,#N/A,#N/A,248,33.27,104.9,138.17
700,1/9/19,12/7/18,#N/A,#N/A,#N/A,#N/A,253,33.38,115.21,148.59
700,2/7/19,1/9/19,#N/A,#N/A,#N/A,#N/A,211,32.84,113.09,145.93
700,3/12/19,2/7/19,#N/A,#N/A,#N/A,#N/A,299,34.26,122.16,156.42
700,4/9/19,3/12/19,#N/A,#N/A,#N/A,#N/A,121,31.4,107.55,138.95
700,5/9/19,4/9/19,#N/A,#N/A,#N/A,#N/A,213,33.55,109.84,143.39
700,6/10/19,5/9/19,#N/A,#N/A,#N/A,#N/A,219,94.87,108.51,203.38
700,7/10/19,6/10/19,#N/A,#N/A,#N/A,#N/A,217,94.87,100.85,195.72
700,8/9/19,7/10/19,#N/A,#N/A,#N/A,#N/A,238,95.22,96.08,191.3
840,8/8/18,8/8/19,#N/A,#N/A,#N/A,#N/A,86,12.05,30,42.05
840,9/10/18,8/8/18,#N/A,#N/A,#N/A,#N/A,76,27.94,29.53,57.47
840,10/8/18,9/10/18,#N/A,#N/A,#N/A,#N/A,62,8.04,29.53,37.57
840,11/6/18,10/8/18,#N/A,#N/A,#N/A,#N/A,54,8,29.08,37.08
840,12/10/18,11/6/18,#N/A,#N/A,#N/A,#N/A,690,24.71,63.39,88.1
840,1/9/19,12/10/18,#N/A,#N/A,#N/A,#N/A,199,18.81,38.65,57.46
840,2/7/19,1/9/19,#N/A,#N/A,#N/A,#N/A,48,6.28,23.36,29.64
840,3/11/19,2/7/19,#N/A,#N/A,#N/A,#N/A,45,6.23,23.73,29.96
840,4/9/19,3/11/19,#N/A,#N/A,#N/A,#N/A,53,8.72,23.69,32.41
840,5/9/19,4/9/19,#N/A,#N/A,#N/A,#N/A,68,8.39,24.22,32.61
840,6/10/19,5/9/19,#N/A,#N/A,#N/A,#N/A,83,14.26,23.31,37.57
840,7/11/19,6/10/19,#N/A,#N/A,#N/A,#N/A,70,20.96,17.6,38.56
840,8/8/19,7/11/19,#N/A,#N/A,#N/A,#N/A,91,36.45,17.79,54.24
840,8/8/18,7/10/18,#N/A,#N/A,#N/A,#N/A,208,18.1,22.27,40.37
841,9/7/18,8/8/18,#N/A,#N/A,#N/A,#N/A,209,16.88,21.6,38.48
841,10/8/18,9/7/18,#N/A,#N/A,#N/A,#N/A,330,11.81,26.95,38.76
841,11/6/18,10/8/18,#N/A,#N/A,#N/A,#N/A,484,15.73,33.56,49.29
841,12/7/18,11/6/18,#N/A,#N/A,#N/A,#N/A,710,21.49,48.28,69.77
841,1/9/19,12/7/18,#N/A,#N/A,#N/A,#N/A,821,22.96,60.57,83.53
841,2/7/19,1/9/19,#N/A,#N/A,#N/A,#N/A,839,24.06,64.31,88.37
841,3/11/19,2/7/19,#N/A,#N/A,#N/A,#N/A,889,24.87,72.89,97.76
841,4/9/19,3/11/19,#N/A,#N/A,#N/A,#N/A,245,13.75,27.91,41.66
841,5/9/19,4/9/19,#N/A,#N/A,#N/A,#N/A,174,10.81,23.63,34.44
841,6/10/19,5/9/19,#N/A,#N/A,#N/A,#N/A,157,14.02,21.9,35.92
841,7/11/19,6/10/19,#N/A,#N/A,#N/A,#N/A,71,12.27,14.95,27.22
841,8/8/19,7/11/19,#N/A,#N/A,#N/A,#N/A,65,12.62,13.88,26.5
841,8/8/18,8/8/19,27.101,20.35,14.57,34.92,3360,246.58,397.76,644.34
841,9/7/18,8/8/18,29.214,21,15.38,36.38,3360,276.28,386.87,663.15
610,10/8/18,9/7/18,34.531,22.66,18.49,41.15,3520,121.05,390.78,511.83
610,12/7/18,11/6/19,450.566,177.96,271.88,449.84,3440,88.84,409.59,498.43
610,1/9/19,12/7/18,595.509,236.24,419.94,656.18,3520,90.77,457.35,548.12
610,2/7/19,1/9/19,819.094,338.88,503.08,841.96,3920,105.27,490.08,595.35
610,3/12/19,2/7/19,631.932,263.74,345.5,609.24,4080,101.57,527.49,629.06
610,4/9/19,3/12/19,348.371,115.03,185.97,301,4240,129.26,512.87,642.13
610,5/9/19,4/9/19,107.25,46.12,55.96,102.08,4000,132.15,503.12,635.27
610,6/10/19,5/9/19,59.761,32.54,30.54,63.08,3760,271.85,473.38,745.23
610,7/11/19,6/10/19,29.243,23.78,14.73,38.51,3680,259.83,416.98,676.81
610,8/8/19,4/10/19,101.549,90.76,51.09,141.85,15760,989.49,1826.61,2816.1
610,11/6/19,10/8/18,11.51,28.1,6.25,34.35,1760,178.67,534.65,713.32
610,8/8/18,7/11/18,38.567,23.87,20.74,44.61,#N/A,#N/A,#N/A,#N/A
610,9/7/18,8/8/18,35.475,22.92,18.68,41.6,#N/A,#N/A,#N/A,#N/A
400,10/8/18,9/7/18,46.042,26.19,24.65,50.84,#N/A,#N/A,#N/A,#N/A
400,11/6/18,10/8/18,44.996,26.77,24.6,51.37,#N/A,#N/A,#N/A,#N/A
400,12/7/18,11/6/18,43.907,26.53,26.44,52.97,#N/A,#N/A,#N/A,#N/A
400,1/9/19,12/7/18,50.325,29.19,35.39,64.58,#N/A,#N/A,#N/A,#N/A
400,2/7/19,1/9/19,42.059,27.9,25.63,53.53,#N/A,#N/A,#N/A,#N/A
400,3/11/19,2/7/19,43.11,27.87,23.58,51.45,#N/A,#N/A,#N/A,#N/A
400,4/9/19,3/11/19,42.099,27.49,22.45,49.94,#N/A,#N/A,#N/A,#N/A
400,5/9/19,4/9/19,42.059,27.48,21.91,49.39,#N/A,#N/A,#N/A,#N/A
400,6/10/19,5/9/19,47.179,28.94,24.16,53.1,#N/A,#N/A,#N/A,#N/A
400,7/10/19,6/10/19,42.82,27.65,21.6,49.25,#N/A,#N/A,#N/A,#N/A
400,8/8/19,7/10/19,38.605,26.38,18.34,44.72,#N/A,#N/A,#N/A,#N/A
400,8/8/18,7/11/18,39.61,24.19,21.31,45.5,6000,356.48,590.79,947.27
400,9/7/18,8/8/18,41.735,24.86,21.98,46.84,7500,385.27,645.28,1030.55
600,10/8/18,9/7/18,42.903,25.22,22.97,48.19,1050,97.92,328.19,426.11
600,11/6/18,10/8/18,276.252,119.71,151.05,270.76,8490,214.15,665.33,879.48
600,12/10/18,11/6/18,55.46,30.06,34,64.06,3960,126.66,494.83,621.49
600,1/9/19,11/6/18,1360.758,534.56,950.93,1485.49,6960,196.83,980.35,1177.18
600,2/7/19,1/9/19,829.608,341.85,506.19,848.04,3000,88.16,491.18,579.34
600,3/11/19,2/7/19,836.969,344.31,458.09,802.4,3360,125.75,538.63,664.38
600,4/9/19,3/11/19,486.246,154.44,259.36,413.8,2880,101.56,485.44,587
600,5/9/19,4/9/19,351.19,115.84,182.93,298.77,3390,122.75,517.54,640.29
600,6/10/19,5/9/19,45.083,28.34,23.09,51.43,3420,321.73,506.22,827.95
600,7/10/19,6/10/19,41.775,27.36,48.42,75.78,4470,338.13,510.17,848.3
600,8/8/19,7/10/19,40.692,26.96,19.34,46.3,6210,366.21,580.22,946.43
600,8/8/18,7/10/18,0,12.03,0,12.03,545,82.64002,93.13021303,175.770233
600,9/10/18,8/8/18,2.087,12.68000082,1.110000168,13.79000098,657,98.3999252,97.39984885,195.799774
101,10/8/18,9/10/18,7.325,14.27999828,3.930001675,18.20999995,704,43.34056,99.62968827,142.9702483
101,11/6/18,10/8/18,6.278,15.07000319,3.43999871,18.5100019,619,38.7200188,94.95976693,133.6797857
101,12/7/18,11/6/18,9.409,18.36000055,5.820002813,24.18000336,0,0,0,0
101,1/9/19,12/7/18,0,15.08,0,15.08,242,17.8999888,91.14002072,109.0400095
101,2/7/19,1/9/19,0,15.46,0,15.46,176,14.6199044,93.40993333,108.0298377
101,3/11/19,2/7/19,0,15.46,0,15.46,206,16.2699131,98.15000327,114.4199164
101,4/9/19,3/11/19,0,15.46,0,15.46,391,26.3000759,106.8999643,133.2000402
101,5/9/19,4/9/19,0,15.46,0,15.46,412,28.7202339,106.0800989,134.8003328
101,6/10/19,5/9/19,0,15.46,0,15.46,550,88.929752,114.1100906,203.0398426
101,7/11/19,6/10/19,0,15.46,0,15.46,555,90.410018,106.9099097,197.3199277
101,8/8/19,7/11/19,0,15.46,0,15.46,579,93.6697106,102.8501147,196.5198253
101,8/8/18,7/10/18,26.623,109.0799917,14.32998949,123.4099812,15120,1098.528702,1666.733089,2765.261791
101,9/10/18,8/8/18,25.583,108.99,13.48,122.47,15030,1089.52,1611.36,2700.88
100,10/9/18,9/7/18,,,,,11880,371.2,1443.4,1814.6
100,11/6/18,9/7/18,488.557,562.84,266.68,829.52,,,,
100,12/7/18,11/6/18,1120.352,573.52,676.05,1249.57,22530,616.22,2901.56,3517.78
100,1/9/19,12/7/18,1293.913,545.5488042,912.43,1457.978804,13920,388.02,1794.23,2182.25
100,2/7/19,1/9/19,1800.396,636.9505313,1105.98,1742.930531,13980,418.59,1810.43,2229.02
100,3/12/19,2/7/19,1326.664,552.93,725.33,1278.26,11040,310.18,1710.25,2020.43
100,4/9/19,3/12/19,944.075,193.5597022,504.1596519,697.7193541,15240,448.21,1898.41,2346.62
100,5/9/19,4/9/19,176.172,147.79,91.98,239.77,10800,327.28,1624.67,1951.95
100,6/10/19,5/9/19,99.614,143.23,50.86,194.09,11010,690.38,1592.52,2282.9
100,7/10/19,6/10/19,33.077,139.23,16.66,155.89,13230,998.03,1535.87,2533.9
100,8/8/19,7/11/19,22.385,138.5500069,10.63,149.1800069,15030,1156.93,1565.58,2722.51
100,8/8/18,7/10/18,0,12.03,0,12.03,3631,166.471805,400.2101303,566.6819353
100,9/7/18,8/8/18,0,12.03,0,12.03,3820,215.8492456,397.4589489,613.3081945
500,10/8/18,9/7/18,0,12.03,0,12.03,3059,83.2309138,356.3592471,439.5901609
500,11/6/18,10/8/18,66.97,38.01999239,36.64002367,74.66001606,2275,67.0401668,317.0102005,384.0503673
500,12/7/18,11/6/18,386.797,156.1602622,233.4099421,389.5702042,2639,105.6294842,354.8997675,460.5292517
500,1/9/19,12/7/18,599.703,239.720256,422.9099559,662.6302119,2906,81.220044,395.959313,477.179357
500,2/7/19,1/9/19,823.299,342.22,505.65,847.87,2410,66.93,341.31,408.24
500,3/11/19,2/7/19,812.785,337.85,444.58,782.43,2736,70.58,380.85,451.43
500,4/9/19,3/11/19,255.753,88.56,136.61,225.17,2242,83.87,332.49,416.36
500,5/9/19,4/9/19,46.265,28.68,24.14,52.82,2431,81.97,346.63,428.6
500,6/10/19,5/9/19,0,15.46,0,15.46,3367,196.94,390.72,587.66
500,7/10/19,6/10/19,0,15.46,0,15.46,4125,203.31,372.26,575.57
500,8/8/19,7/11/19,0,15.46,0,15.46,5325,257.32,421.93,679.25
500,8/8/18,7/10/18,11.466,15.5499932,6.160005306,21.70999851,19360,1027.72,1676.73,2704.45
500,9/10/18,8/8/18,12.52,15.87,6.6,22.47,20400,1057.65,1657.86,2715.51
200,10/8/18,9/10/18,11.51,15.56999258,6.16000237,21.72999495,15040,379.64,1359.93,1739.57
200,11/6/18,10/8/18,79.527,43.35,43.49,86.84,12640,352.24,1233.11,1585.35
200,12/7/18,11/6/18,526.88,208.27,317.94,526.21,13760,328.66,1382.38,1711.04
200,1/9/19,12/7/18,655.27,261.07,462.04,723.11,14880,348.73,1613.16,1961.89
200,2/7/19,1/9/19,851.689,353.84,523.17,877.01,12560,316.08,1548.46,1864.54
200,3/11/19,2/7/19,793.858,330.61,434.22,764.83,13600,329.63,1707.81,2037.44
200,4/9/19,3/11/19,419.94,135.49,224.32,359.81,12560,316.09,1557.01,1873.1
200,5/9/19,4/9/19,89.375,41,46.66,87.66,12080,362.12,1540.95,1903.07
200,6/10/19,5/9/19,25.162,22.65,12.86,35.51,16080,791.65,1761.9,2553.55
200,7/10/19,6/10/19,11.488,18.73,5.78,24.51,19840,971.8,1773.96,2745.76
